Белый рис вареный на воде,117,3,25,0.4
Пюре картофельное с маслом,109,2,15,5
Овощной салат с маслом,57,2,6,3
Картофельное пюре с молоком и маслом,112,2,17,4
Борщ с курицей,46,4,4,2
квашеная капуста с морковью,19,2,5,0.07
Каша овсяная на воде,88,3,15,2
Бутерброд с колбасой,248,11,20,12
Бутерброд с колбасой и сыром,262,11,18,16
Борщ со свининой,64,3,4,4
булгур вареный на воде,97,3,19,0.24
Морковь по-корейски,113,1,9,8
Плов с курицей,151,8,17,9
Суп куриный с вермишелью,40,4,3,2
Оливье,144,6,11,11
Капуста тушеная,69,2,5,3
Пицца домашняя,271,10,29,11
Винегрет овощной,76,2,7,5
Картошка печеная,91,2,19,0.1
Картофельное пюре на воде,88,2,19,0.5
Шаурма с курицей,174,9,14,9
"Овощной салат с помидорами, огурцами, зеленью, оливковым маслом",72,1,4,5
Плов со свининой,223,10,22,9
Салат из огурцов и помидоров,57,0.81,3,4
Бутерброд с маслом и сыром,310,10,26,19
Голубцы с рисом и мясом,93,8,2,6
борщ из говядины,47,3,3,2
Салат капуста с морковью,60,1,13,4
Пельмени,289,12,29,12
Салат Цезарь с курицей,180,13,5,7
Салат крабовый с майонезом,134,7,2,8
суп гороховый с картофелем,55,2,7,2
Салат из свежей капусты,73,2,7,4
Пшеничная каша вареная на воде,105,4,21,0.4
куриный суп с вермишелью и картошкой,96,5,11,4
Пюре картофельное с молоком без масла,78,2,15,1
Перловая каша на воде,112,3,22,0.4
Свинина тушеная,270,19,3,20
плов из говядины,219,11,18,9
Суп с картофелем и фрикадельками,58,3,6,2
Рис тушеный с овощами,130,2,24,3
Котлета рыбная,172,13,13,8
картофель вареный в мундирах,92,2,21,0.1
Суп куриный с овощами,56,5,5,2
Каша рисовая на молоке,143,4,27,2
Макароны с сыром,103,6,3,7
Суп-лапша с курицей,63,4,7,3
Винегрет с квашеной капустой и горошком,89,2,10,4
Суп грибной с картофелем,45,0.8,3,4
Говядина тушеная,232,17,0,18
Морская капуста маринованая Санта Бремор,23,0.6,4,0.4
гречневый суп с курицей,67,5,6,3
салат из пекинской капусты с огурцом и укропом,39,2,2,3
Вермишель быстрого приготовления со вкусом курицы Reeva,405,7,53,18
Щи из свежей капусты с курицей,40,4,4,1
Селедка под шубой,197,6,8,16
Гречка с мясом,117,8,13,3
Роллы Филадельфия,153,4,23,7
Рассольник,37,2,4,1
Тушеная картошка,148,5,12,9
запаренная гречка,92,3,20,0.6
Суп гороховый с курицей,55,4,6,1
чечевица красная вареная,138,12,25,0.4
Молочная манная каша,149,5,19,6
Борщ постный,29,0.8,5,0.6
Картофельные драники (деруны),197,3,19,11
пельмени со сметаной,188,10,1,12
Тефтели свиные с рисом,205,13,8,14
Булгур с маслом сливочным,147,4,24,4
спагетти твердые отварные,120,4,21,0.7
салат из капусты с огурцом,34,2,5,0.84
бутерброд с красной рыбой и огурцом,299,12,12,12
морковка по корейски,104,2,12,6
ячневая каша вареная на воде,76,2,16,0.3
Горчица французкая Своя Линия,183,9,23,7
Запеченная картошка с мясом в духовке,170,8,9,13
Греческий салат,101,4,3,7
каша овсяная на молоке с сахаром,152,5,24,4
Вермишель быстрого приготовления со вкусом куриного бульона с овощами и зеленью,450,10,62,18
Отварная картошка с маслом,128,2,14,7
Суп гороховый с копченостями,91,3,7,6
ленивые голубцы,124,7,12,5
шаурма с курицей и овощами,143,5,16,6
Пельмени куриные,164,16,19,3
Котлеты курино-свиные,157,23,2,5
Суши Ассорти,224,10,25,8
Рассольник с перловкой на курином бульоне,56,2,6,2
Тефтели куриные,134,17,12,1
Картошка тушеная со свининой,142,6,9,9
жареные пельмени,256,15,17,12
Салат греческий с фетой,108,4,4,9
картофель тушеный с мясом,133,5,11,8
Солянка по-домашнему,89,5,4,6
Капуста квашенная по-деревенски,30,2,5,0.1
Салат из помидоров и огурцов со сметаной 15%,30,1,4,2
Салат оливье с курицей,112,7,11,4
Винегрет домашний,64,3,7,1
мясо жареное,399,35,0,29
Рисовый суп с курицей,59,4,8,1
пшено вареное на воде,95,3,20,0.8
гречка с жареным луком и морковью,121,2,11,8
картошка тушеная с курицей,149,8,9,9
Овощной салат со сметаной,54,2,4,1
Перец фаршированный с рисом и фаршем,121,5,18,3
Салат из свеклы с маслом,85,2,10,4
омлет с сыром из двух яиц,134,10,3,10
Куриный суп с картофелем,45,3,2,2
салат капуста свежая и огурец,31,2,4,0.54
греча перевареная,64,2,14,0.7
пицца пепперони,255,14,28,10
Наггетсы куриные классические Мираторг,180,14,14,8
лапша быстрого приготовления со вкусом курицы Доширак,460,9,62,19
суп рыбный с картофелем,61,4,6,3
Вареники домашние с картошкой,163,4,24,7
паста карбонара с беконом,198,10,22,8
Гречка с курицей,130,12,14,3
яичница с колбасой,230,15,2,18
роллы запеченные,175,4,29,4
блины домашние с мясом,216,8,23,11
Блины с творогом и изюмом,181,9,17,4
Капуста маринованная,40,0.91,8,0.16
"Салат пекинская капуста, огурец, кукуруза",73,2,8,4
Щи со свининой,59,2,3,5
Салат сельдь под шубой классический вес Лента,199,5,6,18
суп харчо с мясом и рисом,75,3,6,4
кабачковая икра домашняя,64,1,8,3
Салат Мимоза,197,8,9,13
Каша геркулес на воде,98,3,17,2
буженина из индейки запечённая,110,12,4,5
холодец со свиных ножек и курицы,114,10,0.2,8
Капуста тушеная со свининой,119,6,4,9
"тушеные овощи: брокколи, цветная капуста, морковь",21,2,3,0.2
бургер классический,254,13,25,12
пицца 4 вида сыра,259,11,28,12
домашние голубцы,128,6,12,6
"Салат с крабовыми палочками, яйцом, огурцом, кукурузой и майонезом",133,4,11,8
яичница с помидорами,125,6,2,10
Гречка с молоком,137,5,22,3
Сухарики со вкусом ветчины и сыра ржаные Кириешки,410,11,68,10
Борщ со сметаной,58,1,4,3
Шаурма классическая,242,10,22,12
Макароны с тушенкой,186,8,14,14
Горчица французская Верес,128,5,16,5
говяжий язык отварной,231,24,3,15
Гренки из белого хлеба с яйцом (без молока),342,10,49,14
Каша рисовая молочная(вода/молоко),89,2,18,0.86
Суп овощной на воде,26,2,2,1
Сырный суп с курицей и картофелем,54,6,3,2
овсянка на воде с маслом,128,3,16,5
картошка по деревенски,140,3,13,4
булгур с овощами,141,3,24,3
Лапша быстрого приготовления со вкусом говядины Квисти Доширак,459,8,54,17
Капуста тушеная с курицей,90,6,7,3
Суп с макаронами и картошкой,55,4,4,2
Омлет с помидором,105,8,2,7
Салат из квашеной капусты и масла,63,2,12,4
броколи замороженная Своя линия,27,3,2,0.3
котлеты из говяжьего фарша,197,11,14,11
салат помидоры огурцы лук зеленый без заправки,18,1,4,0.13
Суп гороховый,58,2,8,2
рис варёный с маслом,119,2,23,2
Салат из огурцов и помидоров с растительным маслом,59,0.87,5,5
Тефтели из говядины с рисом,176,12,11,12
Беляш жареный с мясом,369,10,30,24
Рис басмати варенный,77,2,23,0.2
Жульен с курицей и грибами,152,12,5,12
рубленые котлеты с куриной грудки,118,22,0.95,3
бутерброд с печеночным паштетом,274,11,22,15
Рассольник со свининой,62,2,4,4
горчица зернистая Махеев,218,8,24,10
Зеленый борщ с яйцом,58,3,3,4
Чизбургер Макдоналдс,256,14,26,11
Салат с капустой и морковью,71,2,6,5
Каша пшенная на молоке и воде,102,4,17,2
щи из капусты с говядиной,42,3,3,2
Манты,179,10,23,6
Сочная клубника и киви продукт творожный Даниссимо,135,5,16,6
Пшенная каша на молоке с маслом,151,4,17,7
подлива мясная,170,14,5,10
уха рыбная,58,5,7,2
Хот Дог с молочной сосиской,297,9,25,18
Курица запеченная в духовке с картошкой,170,9,8,11
Макароны с мясом,215,6,21,16
Оливье с майонезом,160,6,8,12
суп куриный с домашней лапшой и картофелем,43,5,4,0.6
Шницель из куриного филе,147,22,3,5
"Салат с пекинской капустой, помидор, огурец, сок лимона",34,1,3,2
каша рисовая на воде,101,2,22,0.2
запеченный картофель в мундирах,94,2,16,2
Сироп к кофе Соленая карамель Monik,265,0,65,0.1
Солянка с колбасой,107,7,2,8
Гречневая каша на молоке,102,4,19,2
Геркулесовая каша на молоке,140,5,20,4
Вареная картошка с жареным луком,100,2,14,4
Горячая кружка куриная с сухариками Maggi Магги,365,6,65,8
Суп овощной с курицей,35,3,4,1
Пюре картофельное с сухариками Роллтон,370,6,66,8
Смесь салатных листьев итальянская ,22,2,3,0.3
гороховая каша,97,7,17,0.59
Шаурма домашняя,182,10,20,7
Пельмени с бульоном,135,9,7,8
пицца с курицей,193,10,27,5
Окрошка с майонезом,92,3,4,7
Вареники с капустой,159,5,20,3
Блинчики без начинки С пылу с жару,140,4,23,4
Щи из квашеной капусты с курицей,46,4,2,2
 Королевский 67% Королівський смак,605,0.1,3,67
Жареная картошка с яйцом,123,5,13,6
Фунчоза с овощами и куриным филе,137,7,22,4
кукурузная каша на воде без сахара,90,3,20,0.46
"Пельмени классические свинина, говядина зелень Бабушка Аня",260,9,31,11
Вермишель быстрого приготовления со вкусом куриного бульона С овощами и зеленью Острая Мивина,451,10,62,18
омлет из двух яиц с молоком 3.2% и колбасой,122,9,2,9
Куриное филе в желе с овощами Ганна,70,13,0,2
Салат из пекинской капусты и помидоров,48,1,4,3
Каша геркулесовая на молоке и воде,105,3,16,2
"салат из пекинской капусты, огурцов и растительного масла",43,1,5,2
 на перепелином яйце Mr. Ricco,610,0.4,2,67
"овсяная каша на молоке без масла, без сахара вязкая",108,4,14,4
Горчица Дижонская Торчин,186,6,20,7
лаваш ремесленный из цельнозерновой муки Аютинский хлеб,194,8,37,2
Морковь по-корейски Самое время Санта Бремор,76,0.7,11,3
Каша кукурузная на воде,96,3,21,0.5
топпинг карамель со сгущённым молоком Махеев,293,1,68,2
Рагу овощное с курицей,84,7,5,3
Запеканка картофельная с мясом,151,6,12,7
Салат витаминный,72,1,6,4
тефтели ежики домашние,150,15,5,10
Суп щи с фрикадельками,80,4,6,4
Манты с говядиной,191,10,17,9
Рыбный суп из консервов,53,3,3,4
Ленивые твор вареники,113,16,2,2
Тыквенный суп пюре со сливками,62,0.8,6,4
Капуста квашеная с клюквой Розумний Вибір,28,2,5,0.1
 провансаль столичный 50% Камако,470,3,3,50
Салат из свеклы с чесноком,77,2,11,4
пицца Гавайская,208,12,15,11
тунец рубленый в собственном соку Красная цена,133,24,0,0
Драники со сметаной,160,4,16,3
Салат из капусты и морковки с заправкой,72,2,11,2
Суп-пюре из чечевицы,78,8,11,0.89
"Салат из свежих овощей (помидоры, лист салата, масло оливковое)",53,1,4,4
Томатная паста,114,2,24,0.5
Сгущенка низкокалорийная без сахара,163,5,7,6
Картофель жареный с луком,101,2,10,4
мидии в масле,210,8,1,19
Салат Цезарь с майонезом,183,11,11,11
гарячий бутерброд с сыром,228,10,25,9
Плов из булгура с курицей,111,8,14,3
Горчица американская неострая Торчин,155,4,21,5
Суп фасолевый,94,5,14,2
Хинкали,210,8,30,8
Рисовый суп,53,2,7,2
котлеты домашние жареные,230,15,17,5
Суп Капустняк,55,3,7,2
Фунчоза готовая,82,0.2,19,0.1
сырный рамен Доширак,421,10,68,12
школьная пицца,350,14,51,11
Борщ постный с фасолью,57,2,4,2
рис с курицей и овощами,206,9,26,7
Перловка с морковкой и луком,111,3,17,2
Тефтели куриные с рисом,127,11,8,6
Куриное филе запечённое с помидором под сыром,152,16,1,9
жареные рыбные котлеты,138,13,7,6
Салат овощной с тунцом и яйцом,107,7,8,5
Лапша быстрого приготовления со вкусом жареной свинины Reeva,407,8,0,19
Суп сырный,60,5,17,2
Морковь по-корейски Рестория Шеф,96,4,11,4
макароны с подливкой,124,6,18,2
Бутерброд с ветчиной,355,10,18,28
Роллы темпура Суши Шоп,230,6,35,7
бутерброд с рыбой и маслом,344,13,25,21
запеченый картофель рукав,83,2,17,2
Суп картофельный с рисом и фрикадельками,56,2,7,3
Грибной крем-суп,50,1,7,2
Спаржа по-корейски,105,1,0.5,10
Куриная голень тушеная,160,27,0.3,6
Чебупицца курочка по-итальянски Горячая штучка,220,12,21,10
Макароны с жареным фаршем,197,8,11,12
Рассольник с говядиной,63,4,4,3
картошка в духовке с курицей,88,11,9,0.7
Суп Шурпа с говядиной,69,6,4,3
Беляши,239,14,24,13
Борщ красный на свином бульоне,59,3,14,2
манная каша молоко вода,91,2,18,1
куринный бульон,15,2,0.3,0.5
Салат Шуба со сметаною,90,4,6,4
Конвертики из лаваша с творогом и сыром,257,17,22,12
Куринный суп с лапшой,51,2,9,3
гречка с кефиром,51,4,8,0.2
Лапша с говядиной по-домашнему Роллтон,390,7,52,17
Наггетсы куриные жаренные,268,25,6,12
Винегрет без масла,43,1,9,0.16
Грибы запеченные в духовке,30,4,0.5,1
Овощной салат с майонезом,84,1,0,6
гуляш из куриного филе,101,15,2,3
хот-дог баварский,230,6,22,13
Салат Крабовый (без майонеза),87,4,14,1
"Толчёная картошка с молоком 2,5% и сливочным маслом",90,2,16,1
Сендвич с ветчиной,165,11,16,8
яичница без масла,174,14,0.9,12
куриные катлетки,143,26,3,3
"Салат (капуста, яйцо, крабовые палочки, кукуруза, майонез)",107,5,7,7
Крем-суп куриный с крутонами Reeva,425,6,49,22
пицца маргарита,250,10,37,7
Картофель печенный,70,2,15,0.1
Ленивые голубцы с куриным фаршем,154,7,8,7
картофель тушенный,109,3,14,4
Салат фунчоза с овощами,145,3,30,2
Каша тыквенная с рисом на молоке,91,2,20,2
Гречка с грибами и луком,101,3,10,3
Лапша быстрого приготовления с куриным вкусом по-домашнему Роллтон Rollton,399,8,49,18
"салат (огурцы, помидоры, зелень, растительное масло)",58,0.8,3,4
Бутерброд с салом,381,5,28,27
Фунчоза под китайским устричным  ----ом с грибами шиитаке Sen Soy,279,3,47,8
Щи из свежей капусты с картофелем,38,1,2,4
бутерброд с белым хлебом колбасой,287,15,18,16
Пирог с картофелем и мясом,212,9,29,7
Икра из баклажан,50,1,6,3
Солянка сборная мясная,72,4,1,4
Горячий бутерброд с помидорами и сыром,301,8,9,26
Салат Маш Свежая зелень Пучок-Свіжачок,25,2,2,0.3
пюре яблоко от природы Фруто няня,36,0,9,0
Салатная смесь Тоскана,16,2,2,0.2
Картошка жареная с грибами,114,4,13,5
морская капуста витаминная,162,10,10,8
Оливье салат без майонеза,119,6,9,6
Салат морковь по-корейски Мировой закусон,167,1,0,13
манты с картошкой и говядина,233,5,39,8
Вермишель Петра,428,8,56,19
суп овощной на бульоне,40,3,3,2
Горчица французская,176,8,16,6
Пшенная каша с тыквой на молоке и воде,88,3,18,1
Чебурек Богатырь с мясом Жаренки,258,11,32,10
квртошка в мундире,74,2,16,1
Лазанья мясная,142,8,19,4
Винегрет с фасолью и маслом,82,3,9,4
свинина жареная с луком,254,16,1,21
Наггетсы сливушки куриные Вязанка,250,10,0,13
цветная капуста в кляре,112,7,14,3
 Московский провансаль классический 67% Я люблю готовить,619,0.3,2,67
Кукурузная каша на молоке,121,4,16,5
Котлета печеночная,167,17,6,8
чипсы картофельные со вкусом курицы Mega Chips Мега Чипсы,510,7,53,30
колбаски для жарки куриные,190,15,2,14
ленивый голубец со свининой,152,11,3,11
Суп с картофелем и вермишелью,52,4,4,2
морковь по-корейски леор,110,2,8,8
Салат морковь по-корейски Рестория шеф,100,2,8,7
Изделия кулинарные готовые с ветчиной и сыром Чебупели Горячая штучка,230,8,31,8
Салат фруктовый,50,0.7,12,0.1
Салат Свекла с чесноком и сметаной,62,2,6,2
Курица запеченая в сметане,74,6,4,4
Шаурма со свининой,193,7,21,13
Брокколи тушеная,64,3,7,2
картофель запечённый в духовке в фольге,100,2,17,2
Наггетсы куриные с сыром Мираторг,207,12,17,10
Пшеная каша на молоке,115,4,14,5
Том Ям с морепродуктами,97,4,13,6
Уха из горбуши,38,2,4,1
гречка с курицей и овощами,119,8,10,5
Молочный суп с вермишелью,76,2,10,2
Суп-лапша домашний,50,1,6,2
кашка овсяные хлопья с клубникой со сливками Минутка Кунцево,340,10,66,4
Пирог с капустой,208,6,15,14
Гречка по купечески,132,8,12,6
Салат чука из морских водорослей Санта Бремор,140,0.9,8,12
салат из свежей капусты с морковью и яблоком,74,2,5,5
Пельмени с начинкой из куриного фарша,275,12,29,9
Вареники с вишней,182,4,39,0.9
Овсяная каша без варки с молоком черника Mollis,360,10,66,5
Салатный микс руккола шпинат Зелена грядка,67,2,6,3
Сальтисон куриный Петруха,130,11,0,9
Рис с мясом,183,12,20,9
лагман с говядиной,92,4,12,3
Вареники с картошкой и грибами,150,5,27,2
кабачок запеченый в духовке,24,1,4,0.3
Лаваш с яйцом и сыром,219,11,23,9
сырники 5% из зерненого творога,214,14,18,10
Гречка с подливой,127,2,13,6
Спагетти болоньезе,191,10,19,10
Бульмени с говядиной и свининой со сливочным маслом Мясная галерея Горячая Штучка,251,9,29,11
Манная каша на молоке с маслом и сахаром,180,4,22,8
Блины с творогом Мираторг,170,7,20,7
Салат из пекинской капусты с огурцами и горошком,68,2,4,4
Салат из морской капусты Дальневосточный Fish house,53,2,5,3
Куриные котлеты пп,115,13,2,6
Студень праздничный Брестский мясокомбинат,55,8,0.1,2
Донер с курицей,174,9,14,9
пеперони фреш большая традиционное тесто Додо пицца,243,10,0,9
Онигири с креветкой Фуджи,124,11,21,2
Уха из форели,34,3,4,0.5
Изделия кулинарные готовые сочные с мясом Чебупели Горячая штучка,280,11,39,8
Роллы с сыром и лососем,190,13,17,8
Гречневая крупа в пакетах для варки Селяночка,360,13,72,2
Хлебцы цельнозерновые минские Санте Дары планеты,310,12,60,2
Драники с фаршем,148,6,12,9
Грибной суп с плавленым сырком,88,6,8,5
Бутерброд с авокадо,207,0.8,15,14
Салатный микс Легкий день Зелена грядка,17,1,2,0.2
Венигрет Реми,115,2,11,7
Жаркое по-домашнему,108,5,10,5
"салат ( огурцы, помидоры, капуста, майонез)",69,2,4,5
Картошка с мясом по французски,196,9,10,14
Макароны с сосисками,183,6,50,10
Куриная грудка запеченная с сыром,122,20,2,3
макароны с мясом и овощами,131,6,14,6
Бутерброд с колбасой и огурцом,235,9,17,14
Чипсы картофельные со вкусом сметаны и лука Люкс,522,6,51,33
катлета на пару,192,15,4,12
пшеная каша на воде,105,3,19,0.77
Плов с индейкой,123,11,24,4
Свекла тушеная,53,2,10,0.7
Курица с грибами в сливках,113,17,2,4
Творог с бананом,121,10,12,3
"Салат из капусты, огурцов и помидоров и зелени",58,1,4,4
Суп с фрикадельками (свинина) и лапшой.,79,5,2,6
Картошка тушеная с грибами,67,2,9,2
чипсы супер рифление грибы в сливочном  ----е Lays maxx,520,6,53,32
Тыквенная каша с пшеном на молоке,104,4,16,2
паштет печеночный с маслом,300,9,0,29
Салат из курицы с ананасом,170,7,3,15
Мясные подушечки Боярские Брестский мясокомбинат,250,9,26,12
Пюре Яблоко-груша-слива для детского питания Сады придонья,48,0,12,0
Салат из пекинской капусты с майонезом,145,3,12,10
Гречка с овощами,98,3,24,5
Окрошка на кефире,47,3,4,2
Хотстеры Горячая штучка,239,8,19,13
 на перепелиных яйцах Слобода,610,0.5,1,67
борщ с говядиной и картофелем,143,10,4,10
Салат из морских водорослей маринованных Чука с ореховым  ----ом Санта Бремор,93,3,12,4
Биток Куриный Сильпо,183,19,0,12
Налисники с творогом,164,7,14,9
Горчица крепкая Торчин,162,6,15,7
салат с тунцом и овощами,143,2,4,13
Гуакамоле,149,2,5,13
